id,pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
180p,Joshua Schimel Claudia Boot,7/1/09,6/30/11,10000,National Science Foundation,Federal agencies,20091548,Dissolved Organic Matter in the Arctic: What does it Look Like Why does it Matter?,,2009,2011
181p,Douglas Burbank,9/1/05,8/31/11,201410,National Science Foundation,Federal agencies,507431,Collaborative Research: Upward and Outward: Tibetan Plateau Growth and Climatic Consequences,This proposal responds to the SESWG scientific challenge of ‚ÄúHow do tectonics and climate interact to shape the Earth‚Äôs surface and create natural hazards?‚Äù Overall we are combining remotely sensed data with field-based and laboratory analyses to understand how climate and tectonics combine to create landscapes and natural hazards in active collisional mountain belts and to define how variations in climate influence landscape character and processes. We are integrating existing SRTM topography existing and forthcoming TRMM precipitation data ASTER imagery (U-Th)/He dating of detrital apatite and cosmogenic nuclide concentrations in detrital sediments within the Himalaya in order to: to explore potential linkages between climate erosion and tectonics in a very active collisional mountain belt; to define spatial and temporal variations in monsoonal precipitation along and across strike as a function of both topography and typical storm tracks; to quantify erosion-rate variations at 103- to 106-yr scales both along and across strike; to examine topographic characteristics that may be responsive to changes in climate erosion rate and erosion process; and to determine the correlation between precipitation events and landslide hazards in remote mountains.,2005,2011
182p,Bruce Kendall,9/15/06,8/31/11,201944,National Science Foundation,Federal agencies,615024,Collaborative Research: Demographic heterogeneity within populations and its consequences,Demographic heterogeneity is likely to be an important determinant of a population‚Äôs dynamics impacting demographic stochasticity low-density growth rate equilibrium density and rate of spatial spread. These are of fundamental ecological importance and may have evolutionary consequences as well; they certainly will influence a population‚Äôs risk of extinction or invasion. However these models are by dint of their simplicity limited in a variety of ways. They are for the most part non-spatial and focus on asymptotic rather than transient dynamics. Where interactions between individuals is included (e.g. density-dependence) it is modeled as a mean-field effect with no consideration of potential variability in local density. Interspecific interactions have not been examined. And finally while many studies have empirically documented heterogeneity of various sorts there has been no integrated assessment of the effects of heterogeneity on the dynamics of an actual population. We propose to extend our understanding of the population impacts of demographic heterogeneity in a variety of ways. Demographic heterogeneity and spatially local interactions: spatial heterogeneity in environmental conditions is an important driver of demographic heterogeneity especially in sessile organisms such as plants. In these species competitive interactions and often dispersal are local and mean field models may be inappropriate. We will use spatially explicit models to analyze the effects of demographic heterogeneity in such populations adding spatial pattern to the endpoints we have already examined in nonspatial models. Demographic heterogeneity and invasion dynamics: our previous work used idealized dispersal kernels and deterministic dynamics but low densities in the leading edge of the invasion front mean that both demography and realized dispersal can be highly stochastic. We will use individual-based spatial models to evaluate how demographic heterogeneity affects the mean and variance of invasion speed. We will also use the model to investigate the conditions required to generate the pattern (observed e.g. in the cane toad invasion) of increasingly strong dispersal ability in the leading edge of the invasion. Demographic heterogeneity and interspecific interactions: we will introduce demographic heterogeneity into models of interacting species (both competitive and consumer- resource interactions) to evaluate how such heterogeneity impacts coexistence criteria and qualitative features of predator-prey cycles. Demographic heterogeneity and the dynamics of a threatened bird species: in collaboration with scientists at the Archbold Biological Station we will use recently developed statistical tools to quantify demographic heterogeneity in a well-studied population of Florida scrub-jays. We will then use our model framework to evaluate how this heterogeneity affects the population dynamics and long-term viability of the population. Insights for metapopulation dynamics: exploiting the qualitative similarity between the density-dependent population model in Stover et al. (2011a) and classic metapopulation models we will develop models that introduce heterogeneity in patch characteristics (extinction and colonization rates). We will investigate whether these models can provide insights into the dynamics of heterogeneous metapopulations that complement or generalize the results of spatially explicit metapopulation models.,2006,2011
183p,Sally MacIntyre,9/15/07,8/31/11,262415,National Science Foundation,Federal agencies,ARC-0714085,Arctic lakes are seives: Will global warming close the pores?,"The hydrodynamics of lakes have major impacts on lacustrine productivity and the rate at which toxins enter aquatic foodwebs. Over the last eight years we have collected a unique time series of temperature and meteorological data from arctic lakes of different sizes in which ecosystem processes are currently being studied by the Arctic LTER. This data set, when analyzed in conjunction LTER data and data on distributions of elemental mercury and methyl mercury collected by William Fitzerald and his colleagues via NSF OPP 0425562, provides an unprecedented opportunity to quantify how the thermal structure of arctic lakes changes with meteorological forcing and thereby understand the coupled physical-chemical-biological processes which govern production in these ultra-oligotrophic systems and the fate of atmospherically derived pollutants.",2007,2011
184p,Jim Mattinson,1/1/07,12/31/11,240919,National Science Foundation,Federal agencies,549674,Development of the CA-TIMS method: Refining U-Pb Zircon Geochronology,,2007,2011
185p,Brad Hacker,3/1/08,2/28/12,279279,National Science Foundation,Federal agencies,745620,Using Mineral Physics to Interpret Seismic Anisotropy of the Lower Crust,Rock samples will be studied from two xenolith pipes and three crustal sections in the Basin and Range. Electron-backscatter diffraction will be used to measure orientations of all crystals in representative samples. Single-crystal stiffness data will be used to calculate the elasticities of the samples. These elasticities will be combined with rock abundance and structure data collected in the field to yield bulk km-scale elasticities for each of the five study sites. Armed with km-scale elasticities for the five study sites plus elasticities for the constituent lithologies we will interpret the anisotropy of the Basin and Range lower crust measured from EarthScope‚Äôs USArray.,2008,2012
186p,Brad Hacker,7/15/07,6/30/12,312317,National Science Foundation,Federal agencies,708934,Collaborative Research: How is Rifting Exhuming the Youngest HP/UHP Rocks on Earth?,At the Woodlark rift of eastern Papua New Guinea an active oceanic spreading center terminates along strike into a continental rift. In this region of active and rapid continental extension Late Miocene-Pliocene eclogites have been exhumed at cm/yr rates within the lower plates of metamorphic core complexes (MCCs). We propose a 5-year multidisciplinary project to address two key questions in continental dynamics: How does lithosphere rupture? How are HP/UHP terranes formed and exhumed? We will use eastern Papua New Guinea as a field laboratory to examine how the lithosphere has evolved petrologically rheologically and thermally during the transition from subduction to rifting and seafloor spreading. Geologic fieldwork will document the spatial distribution temporal sequence and kinematics of ductile to brittle fabrics in metamorphic magmatic and sedimentary rocks of the conjugate rifted margins the MCCs west of the active seafloor spreading rift tip and the inferred youngest MCC (Dayman Dome). Analytical work will document the pressure-temperature-time deformation n evolution tion of exhumed rocks as well as the melting conditions and sources that have given rise to volcanic rocks. A passive seismic deployment will image the crust and mantle beneath and north of MCCs where partially exhumed HP/UHP rocks may occur at depth. Rock physical properties modeling will integrate petrophysical lab measurements of HP/UHP field samples electron back-scatter diffraction studies of lattice preferred orientations and quantitative mineral-physical-properties calculations for determining seismic wave speeds of rocks. GPS surveys will provide direct measurements of horizontal strain rates associated with HP/UHP exhumation and microplate kinematics. Geodynamic modeling will numerically simulate MCC evolution and exhumation of HP/UHP rocks. All data will be integrated by tectonic synthesis to test end-member models proposed for the tectonic evolution of the region and address the two key questions above. The eastern Papua New Guinea HP/UHP terrane will be compared to similar terranes globally to assess whether exhumation mechanisms documented in this region can be applied to other HP/UHP terranes. Results will contribute to an improved understanding of the processes governing the origin structure composition and dynamic evolution of continental building blocks. These processes include deformation localization within the crust exhumation of UHP rocks and the fundamental processes by which the Earth‚Äôs tectonic plates rift and rupture.,2007,2012
187p,Frank Spera,7/1/08,6/30/12,250448,National Science Foundation,Federal agencies,810127,Collaborative research: Testing models that describe the origin of compositional diversity of subduction zone magmatism Aeolian Islands,"Volcanic rocks integrate the records of crustal and mantle processes that govern the compositional diversity of magmas on Earth. At shallow-levels, recharge, crustal assimilation, and fractional crystallization (RAFC), as well as the temperature-pressure conditions of ascent, and composition(s) of surrounding crust dominate development of compositional diversity. In the mantle, particularly in subduction zones, melts acquire their characteristics from the intricate interplay of source composition (including slab- and sediment-derived fluids, sediments and their associated partial melts), intensive parameter constraints (e.g., P, T, fO2) and the style and extent of melting. Despite much study and hundreds of important contributions on these topics, challenges remain. Among these are quantification of RAFC and partial melting processes using geochemical computational tools now available that simultaneously address major and trace element, phase equilibria, and isotopic constraints, and the testing of quantitative predictions by exploiting advances in laboratory methods for textural and in situ chemical and isotopic analyses of crystals, glass and melt inclusions. We propose to explore these challenges by studying subduction zone volcanism of the Aeolian Islands, Italy. We have two primary objectives: (1) For selected suites of volcanic rocks from Alicudi, Filicudi and Salina, test the efficacy of the Magma Chamber Simulator (which has combined the capabilities of MELTS and Energy-Constrained Recharge, Assimilation, Fractional Crystallization) for modeling the compositional evolution from basalt to dacite by generating quantitative models that reproduce published major and trace element and Sr isotope trends. Model results will provide predictions about the compositions and abundances of melt+minerals along open-system liquid lines of descent. With the framework provided by these models, we propose collection of selected suites of rocks followed by acquisition of new textural and in situ (major element by electron probe, trace element by laser ablation ICPMS, and microsampled Sr isotopes) data of crystals, glass and melt inclusions. These new data will be evaluated in context of MCS results to explore two fundamental questions: (a) Is the MCS an effective modeling tool for complex systems? (b) What can we learn about the structure and dynamics of magma bodies associated with these islands? (2) Develop thermal models of the subducted slab and mantle wedge and, in conjunction with phase equilibria constraints (Perple_X and pMELTS), constrain the range of intensive thermodynamic variables relevant to mantle wedge partial melting. Then, based on a Monte-Carlo approach, using pMELTS, we will forward model (1) the composition of wedge partial melts by varying source composition, pressure, fO2, H2O content and style of melting, and (2) using the compositions of these melts, explore compositional changes that occur as melts ascend polybarically and partially crystallize. Best results from this two-stage approach will inform trace element analysis, which will apply published mineral-melt-fluid partition coefficients to closed system melting and crystallization equations for fluid-saturated systems. 197 Model data will be compared with major and trace element and phase equilibria data of the most mafic samples identified on Alicudi, Filicudi and Salina. The fundamental question being explored is what are the dominant controls on parental magma compositions in this subduction setting? Novel aspects of our proposed work include using innovative (but tested) computational models to simultaneously model major and trace element ± Sr isotopes variations in complex magmatic suites. Predictions about characteristics of components of volcanic rocks—crystals, glass, melt inclusions—are tested by taking advantage of recent innovations in textural and in situ data analysis. The end result of this marriage of state-of-the-art petrologic tools is testable models of how magmas form and evolve. If this approach is successful, it will impact how petrologists approach studying complex magmatic systems and will also provide a methodology by which source to surface compositional diversity can be understood by combining computational and analytical methods.",2008,2012
188p,Brad Hacker Andrew Kylander-Calrk Jim Mattinson,8/1/09,7/31/12,391382,National Science Foundation,Federal agencies,911485,The Dynamics of UHP Tectonism: Does the Western Gneiss Region Consist of Multiple (U)HP Blocks With Different Histories?,Understanding the formation and exhumation of ultrahigh-pressure (UHP) rocks continues to be one of the outstanding tectonic questions of our time because of the impact such processes have had on the exchange of material between the crust and mantle the generation and collapse of mountain belts the formation and processing of continental crust and tectonic plate motions. A major advance would be to understand the number sizes and histories of the various blocks that make up a UHP terrane. This proposal is to test whether UHP orogens form through repeated subduction of the same tectonic unit or through sequential subduction of different units by examining a specific example the Western Gneiss Region of Norway. Following careful petrology zircon genesis will be assessed by optical and back-scattered electron petrography cathodoluminescence trace-element abundances and Raman spectroscopy. Single grains and grain fragments will be analyzed by TIMS select populations by CA-TIMS and inherited cores by LA-MC-ICP-MS. Following reconnaissance SIMS dating single grains and grain fragments will be analyzed by TIMS. The strength of this approach lies in its use of state-of-the-art zircon geochronology and petrology collaboration with researchers at cutting-edge facilities and our familiarity with other ultrahigh- pressure orogens. The impact of this research should be considerable and broadly applicable because of the archetypal nature of the Norwegian UHP terrane.,2009,2012
189p,Ralph Archuleta,9/1/11,8/31/12,28237,National Science Foundation,Federal agencies,1143751,4th International IASPEI Symposium on Effects of Surface Geology on Seismic Motion UC Santa Barbara 23 - 26 August 2011,The Fourth ESG International Symposium will address current issues in earthquake ground motion prediction with an emphasis on the effects of surface geology on seismic motion. ESG4 will present recent studies taking into account advances in research since 2006 and help to guide future studies of the effects of surface geology on seismic motion. We expect approximately 200 persons. Attendees will be an international group of earthquake scientists and engineers (and students) who will speak on diverse topics from the state of the art of ground motion research and practice.,2011,2012
190p,John Cottle,10/1/09,9/30/12,41411,National Science Foundation,Federal agencies,911416,Collaborative Research:Orogen-parallel mid-crustal flow and exhumation of domes along the southern maring of the Tibetan plateau,The Himalayas provide an exceptional opportunity to investigate the evolution of mid-crustal rocks that are bounded by active fault systems. Here high-grade rocks that have been exhumed along orogen-parallel thrust faults and low angle detachment faults that were active until the middle Miocene have received considerable attention. In several regions the major structures that bound these mid-crustal rocks the Main Central thrust (MCTZ) below and South Tibetan detachment system (STDS) above are offset or reactivated by young metamorphic domes. Our recently obtained data from the Ama Drime Massif (ADM) suggest that it is another example of active orogen-parallel extension that has dominated the southern margin of the Tibetan Plateau since the middle Miocene. Young metamorphic domes and their interaction with older shear zone/fault systems provide an important opportunity to study orogen-parallel mid-crustal flow and exhumation within an active convergent setting.,2009,2012
191p,Chris Sorlien,9/1/09,11/30/12,49999,National Science Foundation,Federal agencies,929063,Collaborative Research: The North Anatolian Fault in the Marmara Sea Turkey: The Growth of Continental Transform Basins,"The 1500-km-long North Anatolian continental transform (NAF) accommodates westward motion of Anatolia relative to Asia at ~25 mm/yr. At its western end the NAF splinters into several strands with bends and jogs. These geometries and fault interactions are responsible for the extensional Marmara Sea trough, a composite Quaternary structure that includes three main basins with water depths >1200m, separated by submarine ridges. This boundary has been widely considered the type-transform for “pull-apart” structures, and the resulting Marmara basin is one of the best-studied transform basins in the world. Marmara is thus an ideal setting in which to address the following fundamental questions regarding transform basins: 1) What are the patterns of basin growth in space and time, and how do they relate to the deformation at depth? 2) Can the recent tectonic regime be extrapolated back to the onset of the sedimentary basins (i.e., steady- state tectonics), or have tectonics changed through time? 3) What are the geometries of major faults, and how is plate motion partitioned between them? 4) How are faults in Marmara influenced by pre-existing structures? The recent international focus on the Marmara Sea has led to shallow, very high-resolution seismic surveys that map the surface and near-surface traces of faults and sediment failures as well as deep penetration, low-resolution multichannel seismic (MCS) surveys that image the deep basin and crustal structure. In July 2008, the proponents acquired >2700 km of high-resolution MCS reflection data throughout Marmara that fills the resolution gap between those datasets. The TAMAM (Turkish- American Marmara Multichannel) Project was funded by NSF in 2003, but was delayed by scheduling difficulties. In 2008, the proponents used the science budget to lease the R/V K. Piri Reis, operated by Dokuz Eylül University (DEU) in Izmir. Two additional days will be collected in Summer 2009. This dataset ties the faults at depth to their shallower structure where they interact with gravity-collapse and sedimentation patterns, and is thus ideal to resolve the pattern of growth in the basins. Processing and interpretation are ongoing together with our Turkish collaborators at DEU and Istanbul Technical University (ITU), within the constraints of our depleted science budget. This research will continue analysis and interpretation of TAMAM and other datasets to reconstruct the tectonic evolution of Marmara in the last ~1 Ma and to address the questions above. More advanced processing and detailed stratigraphic and structural interpretations of existing seismic data will be undertaken to determine the times at which different fault systems were active, slip rates on major faults, and the stratigraphic response to tectonics and climate. These observations can be used to quantify slip partitioning and changes in tectonics through time. Initial inspection of the TAMAM data indicates that downslope motion and gas are common throughout the basin, and their distribution will be mapped in order to assess their importance in 194 filling the basin and their response to tectonics. Pre-stack depth migration (PSDM) will also be applied to select profiles from the deep-penetration Seismarmara survey to obtain better estimates of fault geometry. Finally, isostatically-balanced kinematic reconstructions will be performed using the mapped sequences to test the predicted subsidence and sedimentation patterns arising from competing models for fault configuration at depth.",2009,2012
192p,Brad Hacker John Cottle Jim Mattinson Frank Spera David Valentine,9/15/09,11/30/12,477500,National Science Foundation,Federal agencies,923552,MRI: Acquisition of an Electron Microprobe for UCSB Researchers and Educators,This project supports the acquisition electron-probbe microanalyzer (EPMA); which will transform our ability to investigate a broad range of Earth science questions. In metamorphic petrology the EPMA will be used to address key tectonic problems such as the exhumation of ultrahigh-pressure rocks melting of sediments in subduction zones flow of the lower crust and heating and cooling histories of xenoliths. It will also be used to address methodological issues such as linking thermobarometry and accessory phase chemistry to geochronology. In igneous petrology we will use the EPMA to understand magma-body dynamics through analyses of crystal zoning to test thermodynamic models of trace-element distributions and to understand magma PT paths through analysis of glass inclusions. In sedimentary petrology EPMA can be used to understand erosion and sediment transport during orogenesis and to understand surface processes and shallow-crustal deformation by providing a superior tuff-correlation tool. In geochronology a modern EPMA is central to making progress in using rutile as a thermochronometer characterizing the complexity of phases such as rutile and sphene prior to age determination interpreting U-Pb REE ages in light of garnet trace-element zoning understanding complex dissolution systematics and behavior during chemical-abrasion TIMS of zircon and monazite and in characterizing standards for laser-ablation ICPMS. In structural geology EPMA (and ICP) measurements of Ti in quartz will give us a previously unexploited means for assigning temperatures to deformation mechanisms. In geobiology EPMA may help break new ground in assessing how microbes acquire energy from sources physically bound or concealed in solids identifying intracellular inclusions in methanotrophs and identifying the imprint of anaerobic methanotrophs in the geologic record.,2009,2012
193p,Chen Ji Ralph Archuleta,7/1/09,12/31/12,361394,National Science Foundation,Federal agencies,911769,Kinematic and Dynamic Rupture Characterazation of the 2008 Ms 8 Wenchuan Earthquake Sequence,The 12 May 2008 Mw 7.9 Wenchuan China earthquake is the largest intra-continental earthquake recorded by modern geophysical observations. It ruptured unilaterally about 250 km beneath the predominantly northeast-trending Longmen Shan a steep high mountain range that bounds the Tibetan Plateau to the northwest and the Sichuan Basin to the southeast. The strong ground shaking caused over 5 million buildings to collapse and nearly 70000 fatalities. The occurrence of this major earthquake surprised most of the geoscience community because the source region historically lacks large earthquakes and has a very low slip rate based on geological and geodetic data. Preliminary analysis revealed a highly complex rupture process where the seismic moment was roughly equally partitioned on the sub-parallel low-angle Pengguan and the high-angle Beichuan faults‚Äîa feature that has never been documented in the literature. This event has few large aftershocks which might be a common feature of large earthquakes in the Tibetan plateau and its vicinity though the reason for this is not clear. This catastrophic earthquake and its aftershock sequence will be investigated with seismic geodetic and geological observations. The rupture process will be constrained to match the tectonic background and surface observations and at the same time be consistent with rupture dynamics that includes a constitutive friction law. This research addresses the following questions: i) Are the rupture characteristics of this event different from other well studied thrust earthquakes such as 1999 Chi-Chi earthquake perhaps reflecting its abnormal tectonic loading process? ii) How could the thrust rupture initiate on the high angle Beichuan fault? What effect did the nucleation have on the subsequent rupture? iii) How did the ruptures on two faults dynamically interact? iv) What are the characteristics of the ground motion excited by this earthquake? Are the ground motions unusual compared with other large thrust events?,2009,2012
194p,John Melack,3/15/07,2/28/13,423548,National Science Foundation,Federal agencies,DEB-0614207,Responses of high elevation aquatic ecosystems to interannual climate variability and trends in nutrient inputs (LTREB Program),"Aquatic ecosystems integrate environmental conditions and can provide indications of how montane regions are responding to warming climate, changing snow regime and altered atmospheric composition.  Twenty-three years of research at the Emerald Lake watershed (Sequoia National Park) has shown that runoff patterns and the timing of snowmelt alter nitrogen (N) and phosphorus (P) biogeochemistry with concomitant changes in lake trophic conditions. Recent evidence indicates that Sierran lakes are undergoing eutrophication while shifting from P to N limitation; altered rates of atmospheric deposition of N and P and changes in P biogeochemistry of soils and lake sediments are likely causes. Observing and understanding the causes and consequences of these multi-year trends and variations in ecological conditions, requires appropriately designed long-term measurements complemented by experiments and modeling. The project investigators propose to continue long-term study of the Emerald Lake watershed and nearby catchments in order to test conceptual hypotheses regarding drivers of environmental change in high-elevation aquatic ecosystems. The primary foci of the proposed study are: i) continued assessment of the response of lake phytoplankton to changing inputs of N and P and ii) continued study of the coupling between climate variability and N and P biogeochemistry. To further examine the effects of ongoing eutrophication, the proposed study also seeks to answer the following questions: a) At what rate is phosphorus being atmospherically deposited in the Sierra Nevada from anthropogenic and natural sources like fire? b) How do modern input rates of P to Emerald Lake and similar sites differ from those over the last two hundred years? c) How is P in the soils mobilized and transformed and how are these processes modified by variation in climate and hydrology? d) How much P is released from lacustrine sediments and how do the rates of release change as a function of variations in stratification, pH, dissolved oxygen and dissolved metals? These questions will be answered through the continuation of ongoing watershed measurements; additional study of P pools, transformation and fluxes in soils and sediments; enhanced measurements of atmospheric deposition; and paleolimnological study of lake sediments. Climate conditions have a strong influence on potential P source areas, on the incidence of fires, on transport and deposition, and on ecological impacts. Hence, as a consequence of the considerable interannual variability in California’s Mediterranean climate, it is essential to conduct these studies for at least five to ten years.",2007,2013
195p,Cathy Busby,7/15/07,6/30/13,107747,National Science Foundation,Federal agencies,711181,Geological Constraints on Landscape Evolution of the Sierra Nevada California: Paleochannels Magmatism and Structure,The Sierra Nevada is the longest and tallest mountain chain in the coterminous U.S. and has long been considered among the youngest. The age and uplift history of the Sierra are currently the subject of geologic debate by workers using a variety of data sources and analytical tools including U-Th-He thermochronology fission track analyses paleobotanical studies dating of cave sediments oxygen isotope analysis of authigenic minerals and analysis of relict landscape. This study will address the following questions: (1) What can Tertiary strata preserved in paleochannels tell us about the evolution of the central Sierran landscape and how does its evolution compare with the rest of the range? (2) What can Neogene volcanic and intrusive rocks centers in the central Sierra Nevada tell us about the paleogeographic and tectonic evolution of the Tertiary Ancestral Cascades arc? (3) When did Neogene range-front faulting begin in the central Sierra Nevada what is its nature and has it proceeded continuously or episodically? Faults at the Sierra Nevada - Basin and Range boundary are important for determining the kinematic boundary conditions for transtensional deformation in the Walker Lane Belt. Detailed mapping in crestal areas of the central Sierra where Tertiary strata are abundant will concentrate on areas with excellent exposure and mappable dateable unaltered volcanic stratigraphy described here. Field work will include detailed mapping of volcanic-volcaniclastic lithofacies paleocanyon boundaries bedrock structure and faults using satellite images air photos and digital terrain models at various scales compiled in ARC-GIS with GPS data. Standard basin analysis techniques will be applied including paleocurrent analysis measurement of sections documentation of key stratigraphic and structural relationships on photomosaics and construction of fence diagrams and cross sections that illustrate stratigraphic relationships across canyons. Age controls will be provided by 39Ar/40Ar geochronology on volcanic rocks and petrographic and geochemical analysis of volcanic rocks will strengthen lithologic correlations.,2007,2013
196p,Leila Carvalho Charles Jones,7/1/11,6/30/13,30000,National Science Foundation,Federal agencies,AGS-1126804,Decadal Variability of the American Monsoons: An Assessment of CMIP5 Simulations,The main goals of this RAPID project are to: 1) develop an extensive assessment of how realistic simulations from the Climate Model Intercomparison Project (CMIP5) are in representing the observed characteristics of the American Monsoon Systems (AMS) in the recent past and 2) assess uncertainties in projected decadal climate changes in the AMS. The specific objectives are to: I. Assess the skill of CMIP5 model simulations in representing the climatological and statistical characteristics of the monsoons in the Americas including: circulation and precipitation features subseasonal variance onsets and demises amplitudes and cross equatorial transitions. II. Determine which CMIP5 models realistically represent the spatiotemporal variability of the monsoons in the present climate including near-term trends frequency of very dry/wet seasons and statistical distributions of extreme precipitation events. III. Examine which CMIP5 models skillfully represent the observed relationships between remote forcings and the American monsoons. These include the Madden-Julian Oscillation (MJO) El NinÃÉo/Southern Oscillation (ENSO) North Atlantic Oscillation (NAO) Pacific Decadal Oscillation (PDO) Antarctic Oscillation (AAO) Atlantic Ocean and Intra-Americas Sea forcings. IV. Explore how much of the climate changes projected for the next decades in the Americas are explained by natural decadal variability and how much by greenhouse gases increases.,2011,2013
197p,Brad Hacker Jim Mattinson,8/1/09,7/31/13,341828,National Science Foundation,Federal agencies,EAR-0838269,How Does the Lower Crust Thicken and Grow During Continent Collisions? A Case Study of the Pamir,Continent collisions past and present are studied to understand their influences on plate driving forces the refining of the continental crust geochemical recycling topography climate change etc. For many years and for good reasons Tibet has been the preferred site of study. Tibet however has one significant limitation: it has few exposures of Cenozoic lower crustal rocks. In contrast the Pamir the western extension of the Tibetan Plateau has multiple domes s exposing Cenozoic lower crustal rocks. The Pamir thus present an important opportunity for understanding the role of the lower crust in continent collisions. This proposal focuses on determining how the lower crust thickened and grew during the Cenozoic evolution of the Pamir with the expectation that these findings will apply to continent collisions in general. There are two endmember models for crustal thickening and growth during collision a ‚Äòbrittle‚Äô model el based on folding and imbrication of the crust and subduction of mantle lithosphere and a ‚Äòductile‚Äô model that calls upon large-scale flow of the lower crust in response to gravitational potential energy gradients. We can test these models in the Pamir within the framework of three hypotheses: The Pamir lower crust was 1) thickened and exhumed by local intracontinental shortening during the Cenozoic 2) thickened by Cenozoic long-distance flow and exhumed by local intracontinental shortening during the Cenozoic or 3) thickened and exhumed mostly before the India‚ÄìAsia collision. These hypotheses can be evaluated by studying the Pamir domes and measuring the distribution in space and time of ages of magmatism ages of crustal thickening ages of exhumation depths of exhumation and deformation associated with formation and exhumation of the domes. This is a collaborative work: UCSB researchers will use U/Pb dating of zircon to determine crystallization ages of plutons Lu-Hf and Sm-Nd dating to measure crustal thickening ages and thermobarometry to determine exhumation depths; Freiberg researchers will use 40Ar/39Ar fission-track and (U-Th)/He/He dating to constrain thermal histories and conduct structural analysis to determine the deformation histories of the domes.,2009,2013
198p,Joshua Schimel Seeta Sistla,9/1/11,8/30/13,15000,National Science Foundation,Federal agencies,1110843,Dissertation Rersearch: Exploring the Impacts of Long-Term Warming on Arctic Soils: Linking Microbial Communities with Seasonal Biogeochemical Dynamics,"The goals of this project are to: 1. Estimate changes in soil C and N stocks with warming (July, 2008).Characterize extractable C and N, soil incubation-derived C-mineralization rates, extracellular enzymatic potential and microbial biomass across soil horizons and seasons. 2. Characterize differences in actively growing and overall microbial community composition in response to warming and link this community data with concurrently collected biogeochemical data (preliminary data from May 2009, through seasons 2010, data analysis through 2012). 3. Incorporate biogeochemical data from the project into a model framework (2010 - 2013).",2011,2013
199p,Joshua Schimel,9/1/09,8/31/13,313386,National Science Foundation,Federal agencies,ARC-0902038,Collaborative Research: The Changing Seasonality of Tundra Nutrient Cycling: Implications for Ecosystem and Arctic System Functioning,"Arctic soils have large stores of carbon (C) and may act as a significant CO2 source with warming. However, the key to understanding tundra soil processes is nitrogen (N), as both plant growth and decomposition are severely N limited. However, current models of tundra ecosystems and their responses to climate change assume that while N limits plant growth, C limits decomposition. In addition, N availability is strongly seasonal with relatively high availability early in the growing season followed by a pronounced crash. There is a need to understand the controls on this seasonality to predict Arctic System responses to climate change, but there are multiple questions that need answers: 1) What causes the seasonal nutrient crash? 2) Does microbial activity switch seasonally between C and N limitation? 3) How will a lengthening of the growing season alter overall ecosystem C and N dynamics, as a result of differential extension of the periods before and after the nutrient crash? 4) What will be the larger impacts of these patterns on the Arctic system? Addressing these questions requires following plant and soil dynamics in a very tight time frame, coupling this understanding of the timing of C and N interactions to an enhanced mechanistic understanding of why the nutrient crash occurs, and then using transect sampling and ecosystem modeling to explore the large-scale implications of this seasonal crash. This proposed research will address our questions by: 1) Varying the length and timing of the growing season in the field by advancing snow melt and warming the ecosystem; 2) Establishing the fine scale seasonal time- courses of soil N availability, plant N content, leaf expansion, root growth and rhizodeposition, ecosystem respiration, microbial biomass and enzyme activity; 3) Conducting lab experiments to determine the extent to which microbial activity is limited by temperature, and C and N availability before and after the crash; 4) Determining how the timing of the nutrient crash and plant growth vary across a latitudinal transect; 5) Refining the Multiple Element Limitation model (MEL) that was developed for arctic ecosystems to better handle how plant and microbial systems respond to N limitation, and incorporating the specific drivers of the crash into MEL; 6) Testing the large-scale spatial and temporal effects of the seasonality of nutrient availability and how it may change in a warming Arctic with a lengthening growing season. This work will require intense mechanistic research focusing on transitions and transformations that occur over only a few weeks at most, but which have profound impacts on the tundra ecosystem. Researchers will scale this mechanistic work to the intermediate spatial scale by conducting transect measurements along a latitudinal transect to validate that patterns that occur locally are robust. They will scale to the whole Arctic system by integrating these mechanisms, and importantly, the N-effects on decomposition, into the MEL model that is designed to explore 163 multiple limiting resource effects on ecosystem function. As an integrated package, this research will explore how the changing seasonal pattern that drives the crash in N availability in tundra soils will alter overall tundra C-cycling and its role as a source or sink of C and through this its role in the global climate system.",2009,2013
200p,Joshua Schimel,9/1/09,8/31/13,301642,National Science Foundation,Federal agencies,ARC-0909510,Collaborative Research: Environmental Changes Alter the Carbon Cycle of High Arctic Ecosystems: Shifts in the Ages and Sources of CO2 and DOC,"This effort focuses on the following questions: 1) How does the age (recently-fixed vs. older) of soil respired CO2 and DOC change over the course of a year, to what extent is this influenced by interannual variability in temperature and precipitation, and how does it correspond with the patterns of CO2 and CH4 fluxes? 2) To what extent do long-term experimental increases in temperature (~+2 and ~+4°C), and in water inputs (summer rain & winter snow) alter the ages, magnitudes, and patterns of C fluxes (CO2, CH4, and DOC)? 3) Are there differences in the extent of microbial degradation of young as opposed to older soil C pools and how sensitive are the degradation rates to changes in climate? UCSB will focus on soil microbial measurements on this project. That will involve several trips to Greenland each year to collect samples. They will return those samples to Santa Barbara and analyze them for nitrogen mineralization, microbial biomass, soil enzyme activities, and microbial community composition. Together, they will be responsible for integrating these measurements with other researchers on the project. This work will involve roughly 1.5 months in the field each year for the student. Schimel will spend 1-2 weeks in the field each year.",2009,2013
