,Topic,Document
314,Topic 31,"Fluvial geomorphology of a boulder-bed, debris-flow  Dominated channel in an active tectonic environment"
315,Topic 31,San Joaquin River Restoration Program
316,Topic 31,San Joaquin River Restoration Program
317,Topic 31,San Joaquin River Restoration Program
318,Topic 31,Analysis of the Potential for Gravel Augmentation in the Robinson Reach Merced River
319,Topic 31,"Channel dynamics and habitat development in a meandering, gravel bed river"
320,Topic 32,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants
321,Topic 32,Shrub encroachment in Arctic tundra: Betula nana effects on above  and belowground litter decomposition
322,Topic 32,Photochemically induced carbon dioxide production as a mechanism for carbon loss from plant litter in arid ecosystems
323,Topic 32,"Shedding light on plant litter decomposition: advances, implications and new directions in understanding the role of photodegradation"
324,Topic 32,Using 2D NMR spectroscopy to assess effects of UV radiation on cell wall chemistry during litter decomposition
325,Topic 32,Short-term facilitation of microbial litter decomposition by ultraviolet radiation
326,Topic 32,Foliar litter chemistry mediates susceptibility to UV degradation in two dominant species from a semi-arid ecosystem
327,Topic 32,The Role of Photodegradation in Surface Litter Decomposition Across a Grassland Ecosystem Precipitation Gradient
328,Topic 32,Effects of UV photodegradation on subsequent microbial decomposition of Bromus diandrus litter
329,Topic 32,Effects of UV Exposure and Litter Position on Decomposition in a California Grassland
330,Topic 33,A SIMPLE ALGORITHM FOR RETRIEVAL OF THE OPTICAL THICKNESS AT L-BAND FROM SMOS DATA
331,Topic 33,ESTIMATING VEGETATION WATER CONTENT DURING A GROWING SEASON OF COTTON
332,Topic 33,DEVELOPMENT OF MICROWAVE VEGETATION INDEX FROM MULTI-SENSOR OBSERVATIONS
333,Topic 33,MICROWAVE VEGETATION INDEX FROM SMOS
334,Topic 33,THE DEVELOPMENT OF MICROWAVE VEGETATION INDICES ACCORDING TO WINDSAT DATA
335,Topic 33,Refinement of Microwave Vegetation Index Using Fourier Analysis for Monitoring Vegetation Dynamics
336,Topic 33,Comparison Of Vegetation Optical Depth Estimation Methods Using Amsr-e Data
337,Topic 33,Estimation of vegetation optical depth and single scattering albedo using multiangular microwave vegetation indices (MVIs)
338,Topic 33,A STUDY ON ESTIMATION OF ABOVEGROUND WET BIOMASS BASED ON THE MICROWAVE VEGETATION INDICES
339,Topic 33,Microwave Vegetation Indices and the Application for Vegetation Optical Depth Retrieval using WindSat Data
340,Topic 34,A two scale model for sheared fault gouge: Competition between macroscopic disorder and local viscoplasticity
341,Topic 34,Earthquake Dynamics with STZ Friction: A Statistical Physics Approach to Dynamic Weakening Energy Partitioning and Fault Evolution
342,Topic 34,"Friction, Fracture, and Earthquakes"
343,Topic 34,"Pulse like, crack like, and supershear earthquake ruptures with shear strain localization"
344,Topic 34,Multi-Statistical Theories for Frictional Weakening and Variability in Earthquakes
345,Topic 34,"Grain fragmentation in sheared granular flow: Weakening effects, energy dissipation, and strain localization"
346,Topic 34,SCEC4 Participation Project C: Implications of Physical Dissipation Mechanisms for Dynamic Faulting and Structural Resilience
347,Topic 34,SCEC4 Participation Project C: Implications of Physical Dissipation Mechanisms for Dynamic Faulting and Structural Resilience
348,Topic 34,SCEC4 Participation Project J: Compactivity Comminution Heating and Disorder - The Physics of Granular Fault Gouge
349,Topic 34,SCEC4 Participation Project J: Compactivity Comminution Heating and Disorder - The Physics of Granular Fault Gouge
350,Topic 35,Classifica  o orientada a objetos aplicada na caracteriza  o da cobertura da terra no Araguaia
351,Topic 35,"An analysis of structure: biomass structure relationships for characteristic species of the western Kalahari, Botswana"
352,Topic 35,Unintended habitat loss on private land from grazing restrictions on public rangelands
353,Topic 35,Policy Domain Specific Ideology: When Interest Group Scores Offer More Insight
354,Topic 35,Physiological Basis of Climate Change Impacts on North American Inland Fishes
355,Topic 35,Identifica  o da din mica espa o-temporal para estimar  rea cultivada de soja a partir de imagens MODIS no Rio Grande do Sul
356,Topic 35,Emergent freeze and fire disturbance dynamics in temperate rainforests
357,Topic 35,The p Regions Problem. p Âå∫Â u uÈóÆÈ¢ò
358,Topic 35,The End-Cryogenian Glaciation of South Australia
359,Topic 35,Effects of point count duration on estimated detection probabilities and occupancy of breeding birds
360,Topic 36,Regional Multimedia Distribution of Nanomaterials and Associated Exposures: A Software Platform
361,Topic 36,Variation in regional risk of engineered nanoparticles: nanoTiO 2 as a case study
362,Topic 36,Analysis of engineered nanomaterials in complex matrices (environment and biota): General considerations and conceptual case studies
363,Topic 36,Species sensitivity distributions for engineered nanomaterials.
364,Topic 36,Chapter 7 Innovation in procedures for human and ecological health risk assessment of engineered nanomaterials
365,Topic 36,Assessing the Risk of Engineered Nanomaterials in the Environment: Development and Application of the nanoFate Model.
366,Topic 36,Chapter 3 Fate of engineered nanomaterials in natural environments and impacts on ecosystems
367,Topic 36,Release of engineered nanomaterials from personal care products throughout their life cycle
368,Topic 36,Considerations of Environmentally Relevant Test Conditions for Improved Evaluation of Ecological Hazards of Engineered Nanomaterials.
369,Topic 36,Emerging patterns for engineered nanomaterials in the environment: a review of fate and toxicity studies
370,Topic 37,Satellite-based rainfall data reveal a recent drying trend in central equatorial Africa
371,Topic 37,Spatiotemporal characteristics and synchronization of extreme rainfall in South America with focus on the Andes Mountain range
372,Topic 37,A Complex Network Approach to Investigate the Spatiotemporal Co-variability of Extreme Rainfall
373,Topic 37,Analysis of spatial and temporal extreme monsoonal rainfall over South Asia using complex networks
374,Topic 37,Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa
375,Topic 37,Appearance of extreme monsoonal rainfall events and their impact on erosion in the Himalaya
376,Topic 37,Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa
377,Topic 37,A new assessment in total and extreme rainfall trends over central and southern Peruvian Andes during 1965 2010
378,Topic 37,Validation of Satellite Rainfall Products for Western Uganda
379,Topic 37,"Simulated sensitivity of African terrestrial ecosystem photosynthesis to rainfall frequency, intensity, and rainy season length"
380,Topic 38,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems
381,Topic 38,Hydrological partitioning in the critical zone: Recent advances and opportunities for developing transferable understanding of water cycle dynamics
382,Topic 38,Toward a Better Integration of Ecological Principles into Ecogeoscience Research
383,Topic 38,Identification of Research Questions with Great Potential to Inform Conservation Policy and Investment Strategies in the United States
384,Topic 38,The value of a broad temporal and spatial perspective in understanding dynamics of kelp forest ecosystems
385,Topic 38,Rivers are social ecological systems: Time to integrate human dimensions into riverscape ecology and management
386,Topic 38,Long term perspectives in aquatic research
387,Topic 38,An integrated conceptual framework for long term social ecological research
388,Topic 38,Foundations of translational ecology
389,Topic 38,Social science in a water observing system
390,Topic 39,Plant Accessible Water Storage Capacity and Tree-Scale Root Interactions Determine How Forest Density Reductions Alter Forest Water Use and Productivity
391,Topic 39,Evaluating spatial patterns of drought-induced tree mortality in a coastal California pine forest
392,Topic 39,Watering the forest for the trees: an emerging priority for managing water in forest landscapes
393,Topic 39,Biomass accumulation rates of Amazonian secondary forest and biomass of old-growth forests from Landsat time series and the Geoscience Laser Altimeter System
394,Topic 39,The changing water cycle: The eco hydrologic impacts of forest density reduction in Mediterranean (seasonally dry) regions
395,Topic 39,Detecting and interpreting secondary forest on an old Amazonian frontier
396,Topic 39,Ten-Year Landsat Classification of Deforestation and Forest Degradation in the Brazilian Amazon
397,Topic 39,A plantation-dominated forest transition in Chile
398,Topic 39,Landscape-scale variation in structure and biomass of Amazonian seasonally flooded and unflooded forests
399,Topic 39,Forest thinning in dry forests: improving the resilience of forest health and streamflow in the Pacific Northwest
400,Topic 40,The suitability of using dissolved gases to determine groundwater discharge to high gradient streams
401,Topic 40,Global separation of plant transpiration from groundwater and streamflow
402,Topic 40,Deeper well drilling an unsustainable stopgap to groundwater depletion
403,Topic 40,GRACE Groundwater Drought Index: Evaluation of California Central Valley groundwater drought
404,Topic 40,Competition for shrinking window of low salinity groundwater
405,Topic 40,The Role of Frozen Soil in Groundwater Discharge Predictions for Warming Alpine Watersheds
406,Topic 40,Quantifying annual groundwater recharge and storage in the central Sierra Nevada using naturally occurring 35S
407,Topic 40,Quantifying groundwater travel time near managed recharge operations using 35S as an intrinsic tracer
408,Topic 40,The global volume and distribution of modern groundwater
409,Topic 40,Global Isotope Hydrogeology Review
410,Topic 41,Effects of Wind and Buoyancy on Carbon Dioxide Distribution and Air Water Flux of a Stratified Temperate Lake
411,Topic 41,Seasonal and spatial variability of CO2 emission from a large floodplain lake in the lower Amazon
412,Topic 41,Fusion of Space-Based CO2 Products and its Comparison with Other Available CO2 Estimates
413,Topic 41,A Method for Physically Fusing XCO2 Measurements Retrieved from SCIAMACHY and GOSAT
414,Topic 41,Large CO2 effluxes at night and during synoptic weather events significantly contribute to CO2 emissions from a reservoir
415,Topic 41,Mapping Global Atmospheric CO2 Concentration at High Spatiotemporal Resolution
416,Topic 41,Potential Ability for Joint-Use of CO2 Measurements Retrieved from Different Remotely Sensed Data
417,Topic 41,"EVALUATION AND INTERCOMPARISON OF THE ATMOSPHERIC CO2 RETRIEVALS FROM MEASUREMENTS OF AIRS, IASI, SCIAMACHY AND GOSAT"
418,Topic 41,Investigation of the consistency of atmospheric CO2 retrievals from different space-based sensors: Intercomparison and spatiotemporal analysis
419,Topic 41,Combining XCO2 Measurements Derived from SCIAMACHY and GOSAT for Potentially Generating Global CO2 Maps with High Spatiotemporal Resolution
420,Topic 42,A Horizon Scan of Emerging Issues for Global Conservation in 2019
421,Topic 42,A horizon scan of global conservation issues for 2014
422,Topic 42,Ten Years On: A Review of the First Global Conservation Horizon Scan
423,Topic 42,A horizon scan of global conservation issues for 2012
424,Topic 42,A horizon scan of global conservation issues for 2010
425,Topic 42,Horizon scan of global conservation issues for 2011
426,Topic 42,A horizon scan of global conservation issues for 2013
427,Topic 42,A Horizon Scan of Global Conservation Issues for 2016
428,Topic 42,A 2017 Horizon Scan of Emerging Issues for Global Conservation and Biological Diversity
429,Topic 42,A 2018 Horizon Scan of Emerging Issues for Global Conservation and Biological Diversity
430,Topic 43,Invasive plants decrease microbial capacity to nitrify and denitrify compared to native California grassland communities
431,Topic 43,Predicting invasion in grassland ecosystems: is exotic dominance the real embarrassment of richness?
432,Topic 43,Long term impacts of invasive grasses and subsequent fire in seasonally dry Hawaiian woodlands
433,Topic 43,Self-reinforcing impacts of plant invasions change over time
434,Topic 43,Applying Ecological Concepts to the Management of Widespread Grass Invasions
435,Topic 43,Invasive Grasses Increase Nitrogen Availability in California Grassland Soils
436,Topic 43,Controls over native perennial grass exclusion and persistence in California grasslands invaded by annuals
437,Topic 43,Do Tree Canopies Enhance Perennial Grass Restoration in California Oak Savannas?
438,Topic 43,"California native and exotic perennial grasses differ in their response to soil nitrogen, exotic annual grass density, and order of emergence"
439,Topic 43,"Not novel, just better: competition between native and non-native plants in California grasslands that share species traits"
440,Topic 44,"Developing a vocabulary and ontology for modeling insect natural history data: example data, use cases, and competency questions"
441,Topic 44,EarthDB: scalable analysis of MODIS data using SciDB
442,Topic 44,Digitization of the UCSB Vascular Plant Collection
443,Topic 44,Digitization of the UCSB Vascular Plant Collection
444,Topic 44,III: Medium: Collaborative Research: Citing Structured and Evolving Data
445,Topic 44,III: Medium: Collaborative Research: Citing Structured and Evolving Data
446,Topic 44,Intel Science and Technology Center for Big Data - ISTC-BD
447,Topic 44,Improving the Understanding of Submesoscale Eddies Fronts and Filaments with Coincident Satellite in situ and Aircraft Measurements
448,Topic 44,Intel Science and Technology Center for Big Data - ISTC-BD
449,Topic 44,A High-Frequency Mobile Phone Data Collection Approach for Research in Social-Environmental Systems: Applications in Climate Variability and Food Security in Sub-Saharan Africa
450,Topic 45,A case study for intercomparison of land surface temperature retrieved from GOES and MODIS
451,Topic 45,A Microwave Wetland Surface Emissivity Calibration Scheme Using SCE-UA Algorithm and AMSR-E Brightness Temperature Data
452,Topic 45,Temperature based and radiance based validations of the V5 MODIS land surface temperature product
453,Topic 45,Refinement and validation of flexible operational algorithms for the generation of consistent long-term land-surface temperature/emissivity ESDR/CDR products
454,Topic 45,Comparison Between GOES-East and -West for Land Surface Temperature Retrieval from a Dual-Window Algorithm
455,Topic 45,New refinements and validation of the collection-6 MODIS land-surface temperature/emissivity product
456,Topic 45,Science Data Analysis Including TIR BRDF Retrieval for Improvements of the MODIS Land-Surface Temperature/Emissivity Products in Long-term Accuracy and Consistancy
457,Topic 45,MODIS Land Surface Temperature and Emissivity
458,Topic 45,Satellite-derived land surface temperature: Current status and perspectives
459,Topic 45,AN EMISSIVITY-BASED LAND SURFACE TEMPERATURE RETRIEVAL ALGORITHM
460,Topic 46,The University of California Center for the Environmental Implications of Nanotechnology.
461,Topic 46,"Nanotechnology Risk Perceptions and Communication: Emerging Technologies, Emerging Challenges"
462,Topic 46,Second Sustainable Nanotechnology Conference (2013)
463,Topic 46,Second Sustainable Nanotechnology Conference (2013)
464,Topic 46,Implementation of a Multidisciplinary Approach to Solve Complex Nano EHS Problems by the UC Center for the Environmental Implications of Nanotechnology
465,Topic 46,Nanomaterials in the environment: from materials to high-throughput screening to organisms.
466,Topic 46,CEIN (2008-2014) Predictive Toxicological Assessment and Safe Implementation of Nanotechnology in the Environment
467,Topic 46,CEIN (2008-2014) Predictive Toxicological Assessment and Safe Implementation of Nanotechnology in the Environment
468,Topic 46,CEIN (2013-2018) Predictive Toxicological Assessment and Safe Implementation of Nanotechnology in the Environment
469,Topic 46,CEIN (2013-2018) Predictive Toxicological Assessment and Safe Implementation of Nanotechnology in the Environment
470,Topic 47,Metabolomics to Detect Response of Lettuce (Lactuca sativa) to Cu(OH)2 Nanopesticides: Oxidative Stress Response and Detoxification Mechanisms.
471,Topic 47,"Aggregation, dissolution, and transformation of copper nanoparticles in natural waters."
472,Topic 47,Comparative Metabolic Response between Cucumber ( Cucumis sativus) and Corn ( Zea mays) to a Cu(OH)2 Nanopesticide.
473,Topic 47,1H NMR and GC MS based metabolomics reveal nano-Cu altered cucumber (Cucumis sativus) fruit nutritional supply
474,Topic 47,Metabolomics Reveals Cu(OH)2 Nanopesticide-Activated Anti-oxidative Pathways and Decreased Beneficial Antioxidants in Spinach Leaves.
475,Topic 47,Cu Nanoparticles Have Different Impacts in Escherichia coli and Lactobacillus brevis than Their Microsized and Ionic Analogues.
476,Topic 47,Activation of antioxidant and detoxification gene expression in cucumber plants exposed to a Cu(OH) 2 nanopesticide
477,Topic 47,Comparative environmental fate and toxicity of copper nanomaterials
478,Topic 47,Application of metabolomics to assess the impact of Cu(OH)2 nanopesticide on the nutritional value of lettuce (Lactuca sativa): Enhanced Cu intake and reduced antioxidants
479,Topic 47,(1)H NMR and GC-MS Based Metabolomics Reveal Defense and Detoxification Mechanism of Cucumber Plant under Nano-Cu Stress.
480,Topic 48,Europium anomalies constrain the mass of recycled lower continental crust
481,Topic 48,Collaborative Research: Characterizing and Modeling Crustal Recycling
482,Topic 48,"Evaluating the relative roles of crustal growth versus reworking through continental arc magmatism: A case study from the Ross orogen, Antarctica"
483,Topic 48,Size and exhumation rate of ultrahigh-pressure terranes linked to orogenic stage
484,Topic 48,What Determines Whether the Deep Continental Crust Flows?
485,Topic 48,What Determines Whether the Deep Continental Crust Flows?
486,Topic 48,Archean upper crust transition from mafic to felsic marks the onset of plate tectonics
487,Topic 48,4.1 Composition of the Continental Crust
488,Topic 48,Continental Lower Crust
489,Topic 48,Differentiation of the continental crust by relamination
490,Topic 49,Magnitude and oxidation potential of hydrocarbon gases released from the BP oil well blowout
491,Topic 49,Oxygen Isotopes (Œ 18O) Trace Photochemical Hydrocarbon Oxidation at the Sea Surface
492,Topic 49,Partial Photochemical Oxidation Was a Dominant Fate of Deepwater Horizon Surface Oil.
493,Topic 49,State of the art satellite and airborne marine oil spill remote sensing: Application to the BP Deepwater Horizon oil spill
494,Topic 49,Material flow analysis of lubricating oil use in California
495,Topic 49,Pneumatic oil barriers: The promise of area bubble plumes
496,Topic 49,"Numerical Modeling of the Interactions of Oil, Marine Snow, and Riverine Sediments in the Ocean"
497,Topic 49,Oil detection in the coastal marshes of Louisiana using MESMA applied to band subsets of AVIRIS data
498,Topic 49,"Detection of Salt Marsh Vegetation Stress and Recovery after the Deepwater Horizon Oil Spill in Barataria Bay, Gulf of Mexico Using AVIRIS Data"
499,Topic 49,Natural oil slicks fuel surface water microbial activities in the northern Gulf of Mexico
500,Topic 50,Unexpected Management Choices When Accounting for Uncertainty in Ecosystem Service Tradeoff Analyses
501,Topic 50,To what extent can ecosystem services motivate protecting biodiversity?
502,Topic 50,Evaluating tradeoffs among ecosystem services to inform marine spatial planning
503,Topic 50,Implementing the optimal provision of ecosystem services
504,Topic 50,Managing Bay and Estuarine Ecosystems for Multiple Services
505,Topic 50,Distilling the role of ecosystem services in the Sustainable Development Goals
506,Topic 50,Minimizing impacts of land use change on ecosystem services using multi-criteria heuristic analysis
507,Topic 50,Operationalizing Network Theory for Ecosystem Service Assessments
508,Topic 50,Chapter 13 Ecosystem Services
509,Topic 50,Ecosystem Services as a Common Language for Coastal Ecosystem Based Management
510,Topic 51,"Relative sea-level history of Marguerite Bay, Antarctic Peninsula derived from optically stimulated luminescence-dated beach cobbles"
511,Topic 51,The Impact of Sea-Level Rise on Coastal Erosion: Using the Coming 2015-2016 El Niño as a Surrogate for 50-100 years of Expected Sea-Level Rise in Central California
512,Topic 51,Tectonic Subsidence of California Estuaries Increases Forecasts of Relative Sea-Level Rise
513,Topic 51,Coastal Impact Underestimated From Rapid Sea Level Rise
514,Topic 51,Bay-head deltas across the northern Gulf of Mexico back step in response to the 8.2ka cooling event
515,Topic 51,Revisiting marine isotope stage 3 and 5a (MIS3 5a) sea levels within the northwestern Gulf of Mexico
516,Topic 51,Insights on a Proposed Mid-Holocene Highstand Along the Northwestern Gulf of Mexico from the Evolution of Small Coastal Ponds
517,Topic 51,Variable response of coastal environments of the northwestern Gulf of Mexico to sea-level rise and climate change: Implications for future change
518,Topic 51,"Breaching of Mustang Island in response to the 8.2 ka sea-level event and impact on Corpus Christi Bay, Gulf of Mexico: Implications for future coastal change"
519,Topic 51,New Approaches to Unraveling the Climatic and Sea-Level History of the Northwestern Gulf of Mexico
520,Topic 52,Patterns of thaumarchaeal gene expression in culture and diverse marine environments
521,Topic 52,Patterns of thaumarchaeal gene expression in culture and diverse marine environments
522,Topic 52,Mg/Ca-  CO 3 pore water 2   temperature calibration for Globobulimina spp.: A sensitive paleothermometer for deep-sea temperature reconstruction
523,Topic 52,Time-Dependent Regulation of Apoptosis by AEN and BAX in Response to 2-Aminoanthracene Dietary Consumption.
524,Topic 52,Single Cell Gel Electrophoretic Analysis of 2-Aminoanthracene Exposed F-344 Rats
525,Topic 52,Mass Spectrometric Investigation of Liver Proteins Isolated from 2-Aminoanthracene Exposed Fisher-344 Rats
526,Topic 52,Hepatic gene expression analysis of 2-aminoanthracene exposed Fisher-344 rats reveal patterns indicative of liver carcinoma and type 2 diabetes
527,Topic 52,Profile of select hepatic insulin signaling pathway genes in response to 2-aminoanthracene dietary ingestion.
528,Topic 52,Pancreatic Gene Expression Altered Following Dietary Exposure to 2-Aminoanthracene: Links to Diabetogenic Activity
529,Topic 52,Exploring Transcriptional Relationships Within Fisher-344 Rats Exposed to 2-Aminoanthracene using VisANT Network Modeling and Gene Ontology Tools
530,Topic 53,Modulation of tropical ocean surface chlorophyll by the Madden Julian Oscillation
531,Topic 53,Sensitivity to Madden Julian Oscillation variations on heavy precipitation over the contiguous United States
532,Topic 53,The Madden Julian Oscillation and the Monsoons
533,Topic 53,Potential Predictability during a Madden Julian Oscillation Event
534,Topic 53,Spatial Intensity Variations in Extreme Precipitation in the Contiguous United States and the Madden Julian Oscillation
535,Topic 53,Stochastic simulations of the Madden Julian oscillation activity
536,Topic 53,The Madden Julian Oscillation and Boreal Winter Forecast Skill: An Analysis of NCEP CFSv2 Reforecasts
537,Topic 53,The Madden Julian Oscillation and the Relative Value of Deterministic Forecasts of Extreme Precipitation in the Contiguous United States
538,Topic 53,The Madden-Julian Oscillation and Predictability of Extreme Precipitation in the United States
539,Topic 53,The Madden-Julian Oscillation and Predictability of Extreme Precipitation in the United States
540,Topic 54,Resetting predator baselines in coral reef ecosystems
541,Topic 54,Local interactions drive size dependent space competition between coral and crustose coralline algae
542,Topic 54,Parsing human and biophysical drivers of coral reef regimes
543,Topic 54,A dynamic bioenergetic model for coral-Symbiodinium symbioses and coral bleaching as an alternate stable state
544,Topic 54,A Dynamic Bioenergetic Model For Coral-Symbiodinium Symbioses And Coral Bleaching As An Alternate Stable State
545,Topic 54,Combining fish and benthic communities into multiple regimes reveals complex reef dynamics
546,Topic 54,"Size dependence, facilitation, and microhabitats mediate space competition between coral and crustose coralline algae in a spatially explicit model"
547,Topic 54,Conservation management approaches to protecting the capacity for corals to respond to climate change: a theoretical comparison
548,Topic 54,Symbiont diversity may help coral reefs survive moderate climate change
549,Topic 54,How will coral reef fish communities respond to climate-driven disturbances? Insight from landscape-scale perturbations
550,Topic 55,Correlation of earthquake source parameters inferred from dynamic rupture simulations
551,Topic 55,SCEC3: Rupture Nucleation and the Evolution of dc
552,Topic 55,Peer NGA-EAST Finite Fault Simulations
553,Topic 55,SCEC4 Participation Project V: Simulation of Kinematic Rupture for Multi-Segment Faults Based on Dynamic Rupture
554,Topic 55,Rupture history of 2014 Mw 6.0 South Napa earthquake inferred from near fault strong motion data and its impact to the practice of ground strong motion prediction
555,Topic 55,SCEC3: Prediction of Broadband Time Histories
556,Topic 55,A kinematic rupture model generator incorporating spatial interdependency of earthquake source parameters
557,Topic 55,Kinematic and Dynamic Rupture Characterazation of the 2008 Ms 8 Wenchuan Earthquake Sequence
558,Topic 55,Within-Event and Between-Events Ground Motion Variability from Earthquake Rupture Scenarios
559,Topic 55,Within-Event and Between-Events Ground Motion Variability from Earthquake Rupture Scenarios
560,Topic 56,"Demographic heterogeneity, cohort selection, and population growth"
561,Topic 56,Investigations in Fisheries Ecology
562,Topic 56,Bayesian inference for bioenergetic models
563,Topic 56,Integrating dynamic energy budget (DEB) theory with traditional bioenergetic models
564,Topic 56,Incorporating Suborganismal Processes into Dynamic Energy Budget Models for Ecological Risk Assessment
565,Topic 56,Linking Adverse Outcome Pathways to Dynamic Energy Budgets: A Conceptual Model
566,Topic 56,Extrapolating ecotoxicological effects from individuals to populations: a generic approach based on Dynamic Energy Budget theory and individual-based modeling
567,Topic 56,Limitations of extrapolating toxic effects on reproduction to the population level
568,Topic 56,Predicting population dynamics from the properties of individuals: a cross-level test of dynamic energy budget theory.
569,Topic 56,Dynamic energy budget theory and population ecology: lessons from Daphnia
570,Topic 57,"Capturing the Acoustic Radiation Pattern of Strombolian Eruptions using Infrasound Sensors Aboard a Tethered Aerostat, Yasur Volcano, Vanuatu"
571,Topic 57,CAREER: Seismo-acoustic signatures of volcanic unrest and eruption: Local. Regional and Remote
572,Topic 57,Collaborative Research: Constraining Volcanic Jet Dynamics with Infrasound Using Numerical and Empirical Models
573,Topic 57,Systematic Array Processing of a Decade of Global IMS Infrasound Data
574,Topic 57,"Local, Regional, and Remote Seismo acoustic Observations of the April 2015 VEI 4 Eruption of Calbuco Volcano, Chile"
575,Topic 57,Automated detection and cataloging of global explosive volcanism using the International Monitoring System infrasound network
576,Topic 57,"High Broadband Seismoacoustic Signature of Vulcanian Explosions at Popocat petl Volcano, Mexico"
577,Topic 57,Seismic and infrasonic signature of explosive eruptions at Popocatepetl volcano Mexico
578,Topic 57,Collaborative Research: Quantifying explosive volcanism in Alaska using seismo-acoustic wavefields recorded by USArray
579,Topic 57,Volcano Infrasound and the International Monitoring System
580,Topic 58,Phenological responses of prairie plants vary among species and year in a three year experimental warming study
581,Topic 58,Coupling snowpack and groundwater dynamics to interpret historical streamflow trends in the western United States
582,Topic 58,Quantifying the legacy of snowmelt timing on soil greenhouse gas emissions in a seasonally dry montane forest
583,Topic 58,Sensitivity of soil water availability to changing snowmelt timing in the western U.S.
584,Topic 58,Hydrologic responses to climate warming for a snow dominated watershed and a transient snow watershed in the California Sierra
585,Topic 58,"Limited effects of early snowmelt on plants, decomposers, and soil nutrients in Arctic tundra soils"
586,Topic 58,Snowmelt timing alters shallow but not deep soil moisture in the Sierra Nevada
587,Topic 58,Groundwater dynamics mediate low flow response to global warming in snow dominated alpine regions
588,Topic 58,"Snow melt response to simulated warming across a large elevation gradient, southern Sierra Nevada, California"
589,Topic 58,"Snowmelt response to simulated warming across a large elevation gradient, southern Sierra Nevada, California"
590,Topic 59,Characterizing landscape scale erosion using 10Be in detrital fluvial sediment: Slope based sampling strategy detects the effect of widespread dams
591,Topic 59,Quantifying human impacts on rates of erosion and sediment transport at a landscape scale
592,Topic 59,Controls on the distribution of cosmogenic 10Be across shore platforms
593,Topic 59,Controls on the distribution of cosmogenic 10Be across shore platforms
594,Topic 59,"Tectonic control on 10Be derived erosion rates in the Garhwal Himalaya, India"
595,Topic 59,Low rates of bedrock outcrop erosion in the central Appalachian Mountains inferred from in situ 10Be
596,Topic 59,"Basins and bedrock: Spatial variation in 10Be erosion rates and increasing relief in the southern Rocky Mountains, USA"
597,Topic 59,"Influence of topography and human activity on erosion in Yunnan, SW China"
598,Topic 59,Long-term erosion rates of Panamanian drainage basins determined using in situ 10Be
599,Topic 59,"Influence of topography and human activity on apparent in situ 10Be-derived erosion rates in Yunnan, SW China"
600,Topic 60,Retrieval of Phytoplankton Size Distribution from Satellite Imagery
601,Topic 60,Century of phytoplankton change
602,Topic 60,In vivo bio-optical properties of phytoplankton pigments
603,Topic 60,Phenology of Size-Partitioned Phytoplankton Carbon-Biomass from Ocean Color Remote Sensing and CMIP5 Models
604,Topic 60,"Evaluating the importance of phytoplankton community structure to the optical properties of the Santa Barbara Channel, California"
605,Topic 60,Global variability of phytoplankton functional types from space: assessment via the particle size distribution
606,Topic 60,Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution
607,Topic 60,Global variability of phytoplankton functional types from space: assessment via the particle size distribution
608,Topic 60,Phytoplankton Pigment Communities Can be Modeled Using Unique Relationships With Spectral Absorption Signatures in a Dynamic Coastal Environment
609,Topic 60,Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution
610,Topic 61,"Timing of metamorphism, melting and exhumation of the Leo Pargil dome, northwest India"
611,Topic 61,"Mid-Miocene initiation of orogen-parallel extension, NW Nepal Himalaya"
612,Topic 61,"Preservation of the Early Evolution of the Himalayan Middle Crust in Foreland Klippen: Insights from the Karnali Klippe, West Nepal"
613,Topic 61,"Building the Pamir Tibetan PlateauCrustal stacking, extensional collapse, and lateral extrusion in the Central Pamir: 2. Timing and rates"
614,Topic 61,Collaborative Research:Orogen-parallel mid-crustal flow and exhumation of domes along the southern maring of the Tibetan plateau
615,Topic 61,Tectonic evolution of the middle crust in southern Tibet from structural and kinematic studies in the Lhagoi Kangri gneiss dome
616,Topic 61,Structural and metamorphic evolution of the Karakoram and Pamir following India Kohistan Asia collision
617,Topic 61,"Building the Pamir Tibetan PlateauCrustal stacking, extensional collapse, and lateral extrusion in the Central Pamir: 1. Geometry and kinematics"
618,Topic 61,"Crustal thickening, Barrovian metamorphism, and exhumation of midcrustal rocks during doming and extrusion: Insights from the Himalaya, NW India"
619,Topic 61,Direct shear fabric dating constrains early Oligocene onset of the South Tibetan detachment in the western Nepal Himalaya
620,Topic 62,Ocean Color Observations on CLIVAR: Inherent Optical Propoerties and Community Structure on Trans-Ocean Sections
621,Topic 62,Optical Signatures of Dissolved Organic Matter Transformation in the Global Ocean
622,Topic 62,A model for remote estimation of ultraviolet absorption by chromophoric dissolved organic matter based on the global distribution of spectral slope
623,Topic 62,Chapter 10 The Optical Properties of DOM in the Ocean
624,Topic 62,Tracing global biogeochemical cycles and meridional overturning circulation using chromophoric dissolved organic matter
